Term,Final Net Worth,Final Cash,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,Winner
1,5876.16,4614.09,17,69,26,0,1
2,1994.32,1187.12,139,0,9,0,0
3,23163.8,22763.6,0,0,23,0,0
4,1450.76,282.42,188,15,0,35,0
5,824.45,0.33,72,38,0,1,0
6,1962.8,5.13,0,0,143,0,1
7,363.32,0.4,14,31,1,12,0
8,643.2,509.06,20,0,1,2,0
9,1285.03,32.0,26,86,13,0,0
10,11566.63,7601.89,0,228,2,400,1
11,3548.99,4.17,0,0,254,2,1
12,11531.24,11341.14,0,20,0,1,0
13,898.05,40.13,0,28,34,11,0
14,28280.63,28280.63,0,0,0,0,1
15,244.48,35.87,25,7,0,0,0
16,397.28,48.6,0,19,8,6,0
17,10843.24,8650.62,0,220,0,49,1
18,12335.17,7503.77,0,0,340,0,1
19,282.2,64.14,0,6,6,16,0
20,4787.06,1783.23,0,7,0,540,0
21,28018.35,21694.35,0,0,248,0,1
22,2004.69,1814.44,0,1,15,0,0
23,1306.98,650.91,21,0,31,0,0
24,10241.79,10233.59,0,1,0,0,1
25,617.24,306.64,28,0,0,83,0
26,1099.72,87.19,7,2,0,201,1
27,1824.17,0.97,166,58,0,140,0
28,1177.3,202.57,109,38,0,1,0
29,6277.63,5.86,0,468,225,2,0
30,1240.05,1042.77,0,2,0,10,0
31,230.43,7.38,13,12,0,5,0
32,268.11,268.11,0,0,0,0,0
33,32181.59,29549.72,185,0,0,1,1
34,1194.33,109.83,26,59,0,102,0
35,1603.97,1400.2,41,0,0,0,0
36,647.21,192.11,48,18,1,0,0
37,37337.63,21559.47,324,531,25,0,1
38,280.29,6.21,3,4,0,58,0
39,959.73,216.17,19,9,10,76,0
40,2306.14,164.34,2,32,108,4,0
41,1022.04,1016.57,1,0,0,0,0
42,1859.57,49.71,113,52,70,19,0
43,1117.07,407.04,0,0,60,1,0
44,1795.39,83.53,59,75,0,138,0
45,2914.92,129.0,302,86,0,135,0
46,2305.09,571.93,286,0,0,0,0
47,894.66,157.75,20,36,17,2,0
48,3144.73,3021.53,22,0,0,0,1
49,16003.18,15327.9,0,0,0,184,1
50,1765.28,1571.96,36,0,0,0,1
51,23613.08,23594.36,0,0,0,4,1
52,1544.22,1528.17,0,0,1,0,1
53,4011.02,2711.48,126,114,3,31,0
54,3387.98,239.71,103,0,0,878,0
55,6308.33,2379.64,0,0,212,103,0
56,1196.06,116.27,0,102,0,63,0
57,585.12,4.46,5,56,1,0,0
58,8401.98,1.98,0,731,142,0,0
59,2197.44,470.7,162,0,54,16,0
60,13599.6,1995.14,37,28,362,18,1
61,143.72,4.76,8,0,0,8,0
62,21646.5,21591.24,6,0,0,0,1
63,2775.1,630.81,263,26,76,0,0
64,8895.53,734.25,464,503,109,0,1
65,4007.57,1643.07,0,10,195,0,1
66,20778.3,15181.59,0,919,0,0,1
67,1752.53,184.41,106,0,41,398,0
68,6250.82,985.34,0,223,123,365,0
69,2017.6,492.72,81,45,37,0,0
70,8668.24,8249.64,0,0,0,130,1
71,4268.36,879.99,22,445,0,24,1
72,685.23,1.68,8,61,1,19,0
73,436.36,267.61,8,11,0,0,0
74,749.37,2.73,0,4,0,170,0
75,275.98,55.38,16,5,1,10,0
76,4893.98,1471.94,326,0,0,380,1
77,463.44,43.29,0,38,7,2,0
78,3171.62,432.93,43,0,43,282,0
79,1213.67,57.94,21,89,17,1,0
80,6484.26,1339.91,0,53,27,859,0
81,1016.49,162.12,141,1,1,0,0
82,5120.42,5120.42,0,0,0,0,0
83,18262.73,18241.87,0,2,0,0,1
84,2002.14,178.68,25,37,14,215,1
85,700.92,541.28,5,9,3,3,0
86,15972.2,10744.17,0,1,357,321,0
87,472.76,83.3,1,17,15,0,0
88,1219.31,504.46,0,0,55,15,0
89,6767.18,4925.8,0,232,7,0,1
90,412.76,365.39,0,0,3,0,0
91,416.33,8.32,49,0,10,0,0
92,319.94,133.52,0,0,0,39,0
93,8329.33,6947.73,117,0,0,215,1
94,2812.31,19.94,168,103,40,15,1
95,182.24,38.6,0,0,6,12,0
96,2984.38,2.46,0,160,158,0,0
97,3860.83,444.66,0,239,103,3,0
98,2328.49,1800.99,3,0,28,28,0
99,13807.61,13125.19,0,0,0,149,0
100,81.04,12.73,0,9,0,0,0
101,4689.76,145.84,213,90,0,490,1
102,2936.78,510.33,0,229,0,242,0
103,26931.83,14186.06,0,37,393,0,1
104,5828.76,5684.28,0,12,0,0,0
105,84.92,34.92,4,3,0,0,0
106,119.56,16.07,5,3,0,15,0
107,520.14,274.05,3,0,10,22,0
108,764.72,118.44,16,0,0,115,0
109,3618.18,161.42,496,142,0,16,1
110,931.37,144.17,0,80,0,0,0
111,4166.35,3515.55,0,17,0,137,0
112,2815.49,395.41,0,28,215,1,1
113,5403.31,1479.57,241,0,0,539,0
114,4406.89,2.36,187,0,0,901,1
115,25109.22,25109.22,0,0,0,0,1
116,1541.14,3.26,235,0,0,1,0
117,1386.43,290.16,42,17,33,8,0
118,1970.1,103.58,1,1,121,6,1
119,1556.71,2.46,82,45,11,109,0
120,8260.78,7078.26,0,97,0,16,1
121,7253.73,3200.06,0,90,44,695,0
122,1783.23,274.7,279,0,0,19,0
123,41843.32,38404.78,0,191,106,54,1
124,11124.16,10864.38,0,31,0,0,0
125,1088.7,808.62,0,8,0,39,0
126,6227.17,2649.19,0,6,295,0,1
127,1224.96,124.31,63,94,15,0,0
128,618.0,319.41,5,0,12,20,0
129,455.68,2.55,97,0,3,0,0
130,8689.22,831.7,528,0,39,5,0
131,13416.04,3613.62,945,42,382,80,1
132,6578.39,3902.64,24,304,0,21,1
133,405.7,0.84,0,0,2,80,0
134,293.34,124.89,1,19,0,0,0
135,3995.06,3563.49,0,0,6,61,1
136,3170.92,753.26,0,31,21,389,1
137,2736.18,908.88,5,165,0,0,1
138,6573.44,2803.79,1,3,188,241,0
139,4980.01,242.64,0,617,53,0,1
140,5514.41,1202.05,297,193,16,0,1
141,3295.92,1637.02,6,90,0,229,1
142,447.0,248.73,1,0,5,27,0
143,575.62,8.21,6,1,0,131,0
144,1987.21,827.84,150,1,10,50,0
145,590.13,1.13,0,6,18,2,0
146,302.1,213.0,0,9,0,0,0
147,502.94,86.26,66,0,8,0,0
148,364.44,149.52,0,21,4,0,0
149,40421.21,40421.21,0,0,0,0,1
150,1344.18,722.6,0,24,0,86,1
151,4782.08,1742.27,236,171,0,34,1
152,8540.37,5027.98,239,0,0,551,1
153,1207.43,138.03,90,19,0,72,0
154,7667.91,5861.82,421,0,0,0,0
155,1674.3,2.46,35,49,23,129,1
156,901.32,98.42,22,1,29,62,0
157,417.65,4.16,2,0,4,73,0
158,976.99,0.83,124,25,1,16,0
159,220.57,2.5,17,1,1,31,0
160,306.11,7.85,1,9,1,23,0
161,7243.31,6899.97,1,4,19,0,1
