Term,Final Net Worth,Final Cash,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,Winner
1,672.78,0.78,0,0,0,150,0
2,6364.5,4830.41,0,3,131,0,1
3,5025.07,2898.37,324,0,0,15,0
4,324.74,126.45,12,0,7,14,0
5,1200.67,0.05,0,18,2,230,0
6,687.17,284.79,62,0,0,0,0
7,425.77,1.16,43,23,1,8,0
8,8667.13,7978.94,0,0,31,67,1
9,986.01,144.08,0,41,18,35,0
10,424.4,64.14,1,22,11,0,0
11,335.43,0.94,51,2,0,0,0
12,9550.69,8386.45,0,126,0,0,0
13,999.97,4.16,106,7,7,1,0
14,1153.01,314.76,50,17,1,120,0
15,188.88,170.42,0,2,0,0,0
16,595.25,172.21,4,17,14,1,0
17,567.1,105.3,26,2,5,60,0
18,9030.24,2972.84,707,0,0,529,0
19,966.29,371.7,12,33,14,1,1
20,177.82,55.58,0,8,2,4,0
21,18745.07,16791.17,0,0,0,195,0
22,734.77,718.41,0,0,0,4,0
23,2256.76,72.55,0,132,55,14,1
24,997.76,12.24,0,1,70,36,0
25,156.97,125.41,0,2,0,8,0
26,419.64,3.1,0,0,2,82,0
27,1551.39,372.03,91,0,0,195,0
28,8790.69,1094.05,0,859,0,0,1
29,10129.31,4.33,451,615,0,670,0
30,5385.63,2794.67,0,0,148,44,0
31,999.32,879.17,1,3,6,0,1
32,292.98,127.61,17,2,2,17,0
33,857.86,508.8,11,0,12,0,0
34,6956.0,1854.72,159,0,392,0,1
35,2630.63,2357.21,36,2,0,18,1
36,13092.32,13092.32,0,0,0,0,1
37,15435.29,15387.01,3,1,0,0,0
38,1602.38,738.4,7,0,3,201,0
39,1285.45,172.55,0,9,61,0,0
40,449.45,83.37,14,28,0,1,0
41,6129.29,3750.53,66,66,0,342,1
42,9241.38,8749.74,0,68,0,0,1
43,1871.27,160.02,263,31,5,8,1
44,1959.62,1513.94,32,0,0,50,1
45,5210.2,899.34,121,0,124,575,1
46,3588.65,1101.13,152,0,0,352,1
47,1840.88,318.76,1,0,95,29,1
48,1609.73,5.79,7,148,17,10,0
49,4203.35,1155.3,241,0,10,321,0
50,472.96,145.92,0,2,14,32,0
51,2665.01,146.6,0,210,3,0,0
52,673.08,206.71,33,0,0,50,0
53,1477.54,1.82,274,0,0,64,0
54,236.27,6.29,42,3,3,2,0
55,283.45,12.72,2,1,15,0,0
56,2892.71,243.16,58,3,84,232,0
57,2012.42,698.09,159,0,6,30,1
58,10765.99,10088.82,23,52,7,0,1
59,56387.88,55509.63,0,15,45,0,1
60,3354.23,962.21,104,0,34,40,0
61,568.08,4.48,0,0,10,56,0
62,550.51,7.8,0,0,10,51,0
63,364.1,65.2,1,1,24,20,0
64,286.11,3.76,26,11,4,0,0
65,1411.84,39.52,0,1,10,324,0
66,874.59,5.3,1,85,3,60,0
67,32419.66,31483.56,0,185,0,0,1
68,5360.78,4662.49,17,59,5,1,0
69,2507.7,167.1,55,175,0,54,0
70,6347.88,3423.11,400,110,83,0,0
71,324.7,3.44,10,9,0,59,0
72,382.53,290.15,1,0,8,2,0
73,468.73,358.24,0,0,5,6,0
74,541.94,308.6,2,21,1,0,0
75,374.75,147.71,0,0,0,43,0
76,944.09,666.97,46,0,0,8,0
77,2363.37,1029.0,5,1,102,0,0
78,13818.12,13666.99,17,0,0,0,0
79,4844.76,2632.26,0,250,0,0,0
80,9113.02,6122.03,0,1,187,72,1
81,1291.9,236.46,56,53,4,41,0
82,352.45,103.66,2,33,0,5,0
83,10794.91,9843.71,232,0,0,0,0
84,589.22,468.64,0,0,1,23,0
85,1287.44,184.31,9,0,63,47,0
86,20890.73,20546.73,52,0,11,0,1
87,203.8,84.86,13,4,0,0,0
88,409.36,82.98,0,47,1,1,0
89,846.09,154.0,54,55,2,0,0
90,1531.34,932.67,48,0,17,0,0
91,1795.11,0.82,201,0,40,33,0
92,2252.4,1588.44,12,0,31,28,0
93,5372.23,2888.88,3,0,154,134,0
94,415.86,6.63,40,7,2,9,0
95,3487.91,2717.91,0,0,50,0,1
96,10332.68,8537.37,0,5,144,0,1
97,183.15,48.01,0,0,0,29,0
98,192.58,4.29,22,0,1,1,0
99,18057.38,17803.5,4,0,0,46,1
100,1336.92,0.42,155,43,0,2,0
101,421.06,25.38,51,5,1,10,0
102,820.22,39.61,0,34,7,136,0
103,6136.36,541.23,41,22,155,0,0
104,2967.63,75.11,0,138,2,308,0
105,8358.66,8358.66,0,0,0,0,1
106,453.67,1.88,56,3,0,40,0
107,685.28,17.13,14,0,41,7,0
108,265.9,3.78,2,0,12,14,0
109,370.74,62.97,13,0,21,0,0
110,333.88,283.96,8,0,0,0,0
111,652.45,33.96,2,2,53,32,0
112,2249.62,808.24,23,69,82,2,0
113,13513.9,10913.26,42,0,133,0,1
114,579.91,404.39,0,0,16,0,0
115,3695.74,295.01,32,371,11,29,0
116,319.52,137.7,11,10,0,0,0
117,2805.17,3.75,21,30,134,0,1
118,887.44,392.85,0,25,17,0,0
119,12016.77,7972.12,0,0,205,0,1
120,1076.49,27.12,42,11,36,15,0
121,2933.43,984.2,177,0,82,0,0
122,5984.1,5303.12,0,79,0,0,1
123,13129.42,1922.94,64,287,0,1144,0
124,25833.93,25588.49,0,0,16,0,1
125,332.2,214.17,1,0,6,3,0
126,4316.24,2504.78,34,84,69,0,0
127,3696.32,2599.57,39,133,0,0,0
128,966.08,0.55,1,13,26,99,0
129,515.59,451.68,0,11,0,0,0
130,4062.61,2841.1,0,140,14,1,0
131,374.02,3.39,2,45,2,2,0
132,374.1,1.07,67,6,1,2,0
133,482.69,368.33,6,4,0,10,0
134,1494.54,245.63,48,2,49,0,0
135,387.77,2.1,0,1,0,72,0
136,283.4,2.17,0,18,3,14,0
137,476.59,218.27,0,10,0,28,0
138,3709.69,1541.52,2,97,0,79,0
139,1085.25,974.0,0,5,0,25,0
140,2708.6,1.98,3,106,3,301,0
141,2463.09,28.46,380,17,26,43,0
142,1342.3,3.95,14,32,0,215,0
143,12897.91,9844.15,0,0,163,164,1
144,3702.28,68.04,0,0,263,28,1
145,5580.77,323.44,27,0,39,848,1
146,433.58,368.26,3,2,0,5,0
147,8977.12,8501.48,94,0,0,0,1
148,7221.19,4868.1,134,45,47,151,1
149,9298.76,7170.98,79,0,10,447,0
150,559.56,277.58,5,7,8,17,0
151,378.1,200.26,2,0,12,0,0
152,189.78,2.19,3,0,12,0,0
153,417.21,282.34,5,1,3,10,0
154,6296.29,6171.01,0,0,12,0,0
155,1645.37,160.08,43,60,1,120,0
156,313.81,2.01,1,8,0,52,0
157,620.5,60.06,13,0,0,103,0
158,2399.93,199.72,291,0,20,75,1
159,2158.37,1088.72,2,17,0,244,1
160,367.52,11.6,0,2,0,44,0
161,1695.98,89.82,267,19,0,59,0
162,148.17,46.11,1,1,0,20,0
163,1662.0,1.0,123,0,32,49,0
164,3462.58,333.72,2,36,193,7,0
165,10785.72,10543.86,0,0,0,58,0
166,7547.2,5385.8,4,0,88,108,1
167,7013.34,343.62,9,593,23,182,1
168,10999.71,10999.71,0,0,0,0,1
169,11697.31,11686.36,0,1,0,0,1
170,422.03,2.6,49,11,0,39,0
171,1596.65,3.69,304,0,0,0,0
172,233.31,182.91,0,0,6,0,0
173,285.05,154.23,10,0,3,6,0
174,533.29,27.49,1,0,3,81,0
175,689.13,227.97,0,21,0,79,0
176,5969.64,5644.68,0,21,0,44,1
177,785.11,207.65,87,2,0,2,0
178,380.2,26.31,0,43,0,0,0
179,5268.33,689.12,0,123,61,220,0
180,3209.74,1200.98,148,146,0,172,0
181,2779.56,1112.91,23,0,100,0,1
