Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory
1,100.0,0.0,-0.026,-0.0087,100,0,0,0
1,99.0,0.0,0.002,0.002,100,0,0,0
1,107.0,85.6,-0.022,-0.022,20,0,0,0
1,109.0,0.42,-0.0103,-0.0103,0,61,0,0
1,113.27,0.42,0.0018,0.0018,0,61,0,0
1,118.76,0.32,-0.0136,-0.0136,0,9,34,0
1,137.43,57.85,-0.0323,-0.0081,0,6,0,58
1,138.51,110.73,-0.03,-0.005,0,0,6,0
1,138.51,133.88,-0.0001,-0.0001,0,0,1,0
1,139.06,3.63,-0.0173,-0.0058,13,0,21,0
1,137.71,0.57,-0.0123,-0.0041,0,3,21,10
1,141.38,41.14,0.0034,0.0009,0,0,16,8
1,141.22,0.29,0.0028,0.0028,2,1,16,26
1,135.96,33.38,0.0028,0.0014,2,1,14,13
1,156.29,33.19,-0.0034,-0.0011,2,2,16,5
1,157.12,3.04,0.0029,0.0029,2,2,19,11
1,152.68,9.28,-0.0094,-0.0047,34,0,0,10
1,139.68,16.64,-0.0152,-0.0025,2,0,2,57
1,135.34,113.72,-0.0022,-0.0007,0,2,2,0
1,134.08,6.04,-0.0054,-0.0027,6,0,8,36
1,125.92,65.8,0.0052,0.0017,0,0,2,30
1,131.76,57.55,-0.0051,-0.0017,0,0,0,41
1,131.76,106.82,-0.0196,-0.0065,1,0,4,0
1,130.9,17.92,-0.0062,-0.0062,48,0,1,0
1,124.58,5.95,0.0039,0.0039,52,1,1,0
1,136.91,1.75,-0.071,-0.0089,7,15,0,34
1,150.94,13.35,0.0032,0.0032,2,15,0,34
1,150.64,1.9,0.0072,0.0036,7,15,0,34
1,141.54,8.44,0.0038,0.0038,4,15,0,34
1,134.09,56.49,-0.0119,-0.0059,1,8,0,25
1,138.1,134.16,-0.0264,-0.0024,0,1,0,0
1,138.13,1.19,-0.0067,-0.0067,0,12,0,47
1,139.98,28.14,0.0009,0.0009,0,5,0,47
1,136.06,61.57,-0.0018,-0.0009,0,0,0,39
1,131.77,47.87,-0.0051,-0.0051,0,0,10,13
1,144.78,26.09,0.0013,0.0013,0,0,13,13
1,138.28,49.9,-0.0129,-0.0026,29,0,1,1
1,145.05,10.05,0.0008,0.0004,45,0,0,0
1,138.75,7.96,-0.0178,-0.0178,0,0,22,1
1,143.24,4.98,0.0095,0.0019,0,1,15,25
1,139.01,85.57,-0.0036,-0.0003,3,0,8,0
1,135.23,0.15,-0.0152,-0.0076,0,8,20,0
1,127.19,19.53,0.0016,0.0016,0,2,20,0
1,128.15,51.03,-0.0004,-0.0001,0,1,11,11
1,127.06,7.24,-0.0046,-0.0011,1,4,19,6
1,124.38,1.51,-0.0189,-0.0038,4,0,23,1
1,139.22,15.63,0.006,0.0009,37,0,6,0
1,137.26,54.97,-0.0025,-0.0012,30,3,0,0
1,134.89,11.55,-0.0003,-0.0003,30,16,0,0
1,130.99,77.55,-0.0035,-0.0035,0,16,0,0
1,140.11,9.34,-0.0168,-0.0084,17,13,0,20
1,150.29,3.69,-0.002,-0.002,4,20,0,25
1,157.56,49.96,-0.0008,-0.0008,5,20,0,0
1,154.21,56.99,-0.0119,-0.004,1,0,2,43
1,149.03,0.26,0.0016,0.0016,1,13,2,45
1,144.0,106.74,-0.0305,-0.0051,3,7,0,1
1,145.2,0.68,-0.02,-0.0022,0,2,2,59
1,144.52,5.7,0.0035,0.0035,0,2,1,60
1,143.44,47.63,0.003,0.0015,3,2,0,39
1,139.77,62.75,0.0017,0.0017,3,4,2,21
1,135.41,39.41,0.0023,0.0023,3,13,2,15
1,142.84,66.96,-0.004,-0.0013,18,0,0,16
1,144.12,97.68,-0.0015,-0.0015,18,0,0,0
1,142.86,0.22,-0.0216,-0.0036,3,33,0,1
1,141.84,50.63,0.0038,0.0019,3,16,3,1
1,138.47,64.95,-0.0326,-0.0081,21,0,0,13
1,145.48,37.5,0.0045,0.0011,14,0,12,0
1,154.24,10.9,0.0127,0.0032,7,3,17,2
1,154.49,1.09,0.0013,0.0013,6,0,21,2
1,148.17,6.99,0.0012,0.0012,6,0,17,12
1,146.91,130.16,-0.0153,-0.0022,5,0,0,2
1,147.31,4.51,-0.0078,-0.0078,56,0,0,0
1,147.87,12.59,-0.0144,-0.0048,0,22,0,18
1,146.41,17.83,-0.0108,-0.0036,0,1,2,52
1,141.55,41.49,-0.0146,-0.0073,2,0,14,0
1,137.85,2.31,-0.0057,-0.0057,2,0,20,0
1,156.41,2.31,0.0026,0.0026,2,0,20,0
1,148.99,95.05,-0.0227,-0.0023,6,0,5,0
1,147.84,24.3,-0.0179,-0.003,0,18,0,24
1,146.22,83.54,-0.0092,-0.0046,0,0,8,5
1,155.19,127.6,-0.0817,-0.0102,0,4,0,3
1,156.26,0.88,0.0015,0.0008,24,9,3,2
1,152.01,88.35,-0.0131,-0.0022,0,0,3,15
1,148.62,98.51,-0.0096,-0.0096,0,0,3,11
1,145.29,27.22,-0.0048,-0.0016,0,21,1,7
1,139.58,126.08,-0.0101,-0.0101,0,0,1,3
1,141.53,2.08,-0.0045,-0.0045,0,12,5,19
1,146.34,4.15,0.0017,0.0017,0,8,5,26
1,157.12,60.75,-0.0012,-0.0006,7,0,0,26
1,151.3,60.02,-0.0046,-0.0046,14,7,0,7
1,147.87,9.49,-0.0088,-0.0022,0,30,1,0
1,143.35,5.17,-0.0068,-0.0023,1,0,20,1
1,154.22,60.21,-0.0149,-0.005,1,20,0,0
