Term,Final Reward,Average Reward,Final Net Worth,Final Cash,Food Inventory,Food Value,Fuel Inventory,Fuel Value,Clothes Inventory,Clothes Value
1,9.469269,-1.2155812,287.73688,103.89472607092546,6,6.0,0,0.0,7,21.0
2,-1.2280641,-1.2536671,254.87816,16.82408745423797,35,35.0,3,6.0,0,0.0
3,-2.6534724,-1.2308136,326.87842,39.717731645728975,20,20.0,9,18.0,0,0.0
4,0.12024522,-0.99584377,280.4512,7.970238999694882,18,18.0,9,18.0,1,3.0
5,-6.421298,-1.9002568,212.31151,31.11384332740703,33,33.0,0,0.0,0,0.0
6,1.4873259,-1.1694648,167.15096,55.28008678018424,1,1.0,9,18.0,2,6.0
7,-3.5151489,-1.0220934,190.8157,86.66789932813236,7,7.0,0,0.0,4,12.0
8,-2.8064423,-1.539378,90.25366,55.62918365093172,18,18.0,5,10.0,1,3.0
9,2.0996277,-0.8500305,206.76627,11.624720107172806,27,27.0,2,4.0,0,0.0
10,-1.6057587,-1.0419254,175.79062,35.26886905051036,13,13.0,6,12.0,0,0.0
11,-5.9364653,-1.4494103,220.69505,1.4348506793922002,25,25.0,13,26.0,1,3.0
12,-2.2382262,-1.2575531,258.86835,64.96757951958051,4,4.0,12,24.0,1,3.0
13,-0.9136536,-1.4279892,230.26965,3.928862356739514,33,33.0,0,0.0,0,0.0
14,-0.8120849,-1.1614852,191.15636,18.828623655056383,17,17.0,5,10.0,2,6.0
15,-5.529773,-0.9042408,277.17438,29.839498838063186,3,3.0,16,32.0,0,0.0
16,2.7051878,-1.3103578,278.33514,69.2723547803381,5,5.0,1,2.0,8,24.0
17,-1.7753814,-1.0674298,190.99055,155.94250717969393,0,0.0,3,6.0,0,0.0
18,-3.89361,-1.1504104,146.75351,79.39802484903564,11,11.0,0,0.0,0,0.0
19,2.6371737,-1.0543579,192.6383,18.492894843125995,25,25.0,0,0.0,2,6.0
20,-5.9575167,-1.1117158,233.75667,0.016096660780723582,15,15.0,3,6.0,5,15.0
21,-2.9963927,-1.085453,190.84781,81.47339440696199,5,5.0,6,12.0,0,0.0
22,-7.324319,-1.2805156,81.36003,1.96670145063506,28,28.0,6,12.0,0,0.0
23,-6.2109075,-1.2417905,238.11331,53.70737203579843,10,10.0,0,0.0,6,18.0
24,2.420044,-0.85046506,201.75626,92.5893638260623,12,12.0,0,0.0,3,9.0
25,-2.8236084,-0.93943465,249.31656,20.329993626318252,25,25.0,5,10.0,1,3.0
26,-5.3379927,-2.4040391,42.404457,4.541868322428465,43,43.0,0,0.0,0,0.0
27,4.217847,-0.89998776,224.51306,22.194865202211687,15,15.0,13,26.0,0,0.0
