#{"t_start": 1729737768.0667076, "env_id": "None"}
r,l,t
35.517214,365,2.087705
25.970182,365,2.961704
27.828591,365,3.850743
35.619535,365,4.733731
27.483989,365,5.659705
31.510377,365,7.455705
35.1828,365,8.380741
34.939722,365,9.275738
31.255424,365,10.226706
36.46022,365,11.713706
36.030956,365,12.831706
34.753613,365,14.896707
36.70248,365,15.763705
36.025399,365,16.66673
36.2588,365,17.514705
36.658471,365,18.461705
35.390781,365,20.284707
36.541854,365,21.111706
35.767367,365,21.990705
36.326142,365,22.925737
36.432335,365,23.804706
35.405023,365,24.563265
36.297273,365,26.438265
36.534974,365,27.324298
36.833271,365,28.239289
36.898952,365,29.123265
36.98315,365,29.9758
36.671573,365,35.084806
36.813893,365,36.986658
36.196274,365,37.86067
36.184444,365,38.792634
36.143174,365,39.65966
34.982977,365,40.524659
36.91579,365,42.417634
36.871303,365,43.302658
36.996374,365,44.181634
36.494394,365,45.07566
36.960326,365,45.877635
36.213731,365,46.731634
36.611542,365,48.716665
36.928474,365,49.550801
36.707664,365,50.44692
36.996023,365,51.352168
36.848191,365,52.219202
36.273273,365,54.078495
36.596472,365,55.007555
36.516074,365,55.877554
36.851547,365,56.75159
36.928003,365,57.703555
36.835385,365,58.614554
37.056815,365,60.464598
36.06416,365,61.407634
36.891225,365,62.308598
36.904767,365,63.166597
36.947606,365,68.240543
36.762184,365,69.197631
36.851827,365,71.045631
36.694954,365,71.939631
36.11678,365,72.955662
36.109536,365,73.815632
36.490561,365,74.737631
36.403005,365,76.592662
36.916197,365,77.489631
35.986381,365,78.535661
36.848016,365,79.385199
35.443166,365,80.3492
36.250219,365,81.250199
36.371834,365,83.148709
36.377554,365,84.010709
36.517263,365,84.856709
35.961027,365,85.741748
35.673022,365,86.651737
36.561533,365,88.515709
36.140295,365,89.401288
36.457519,365,90.343258
35.281708,365,91.324258
36.384351,365,92.266258
36.776453,365,93.041258
36.778927,365,94.968289
36.730801,365,95.819258
36.743057,365,96.691258
36.520369,365,97.553338
36.02508,365,102.579466
36.913042,365,103.494435
34.700738,365,105.328972
36.454084,365,106.263947
36.371291,365,107.168453
36.908405,365,107.970453
36.815812,365,108.858482
36.320933,365,110.719494
36.798658,365,111.627453
36.579187,365,112.503478
36.562518,365,113.383453
35.870836,365,114.320453
36.674931,365,115.106453
36.656965,365,116.924453
36.299186,365,117.853453
36.217754,365,118.715453
36.85495,365,119.615988
36.587177,365,120.586995
34.198448,365,122.470964
36.507384,365,123.330001
36.595158,365,124.218964
35.744286,365,125.045964
36.542509,365,125.971996
36.59617,365,126.853963
36.066546,365,128.817997
34.200651,365,129.587964
31.247259,365,130.528964
34.424283,365,135.361979
36.647972,365,136.273979
36.485635,365,137.199971
36.822669,365,139.034452
36.59698,365,139.906525
36.906429,365,140.715587
36.512094,365,141.601557
36.764514,365,142.497558
36.667734,365,144.331558
36.682492,365,145.265596
36.426124,365,146.188627
36.273938,365,147.093596
36.324966,365,147.88762
36.190983,365,148.712596
36.174635,365,150.631596
36.75478,365,151.486625
36.953497,365,152.415663
36.388893,365,153.350663
36.857006,365,154.200693
36.701177,365,155.227697
36.511588,365,157.131691
35.943433,365,158.083663
35.053636,365,158.97067
36.472475,365,159.869663
36.888632,365,160.701662
36.619065,365,162.536663
36.861355,365,163.450693
36.897488,365,168.459699
36.816118,365,169.3197
36.911957,365,170.218694
35.664017,365,171.071662
36.855451,365,172.966692
37.046302,365,173.946699
36.525221,365,174.875693
36.912246,365,175.725662
36.109211,365,176.5627
36.805193,365,178.437663
36.953212,365,179.308662
37.020003,365,180.170683
36.521687,365,181.065695
33.71427,365,182.002692
36.807626,365,182.895663
36.27201,365,184.755702
36.536973,365,185.6517
36.59871,365,186.52173
36.783027,365,187.36484
36.906793,365,188.27384
36.978382,365,189.199846
36.273681,365,191.056839
37.026906,365,192.010817
36.945155,365,192.796809
36.874169,365,193.755838
36.237565,365,194.632844
36.868713,365,196.463845
36.364547,365,197.378853
33.803329,365,202.2529
36.806796,365,203.16835
33.007913,365,204.099616
36.228282,365,204.92169
36.591142,365,206.805653
37.031881,365,207.690654
36.934962,365,208.651684
36.492042,365,209.572689
36.857192,365,210.475684
36.677524,365,212.307653
36.981829,365,213.239654
36.955356,365,214.145684
36.233314,365,215.089843
36.897517,365,216.001849
35.977172,365,216.950819
36.839843,365,219.023851
36.754132,365,219.991811
37.019307,365,220.895842
36.182016,365,221.815811
36.170041,365,222.726811
36.796729,365,223.562841
37.014711,365,225.387841
37.17249,365,226.247843
36.909567,365,227.143811
37.061424,365,228.000848
37.0203,365,228.836841
37.010805,365,230.752865
37.147037,365,235.707901
37.100026,365,236.579864
37.155466,365,237.3979
37.04981,365,238.240864
37.107445,365,239.106901
36.180996,365,240.989863
36.943461,365,241.894894
36.869145,365,242.746863
36.861979,365,243.6159
36.916907,365,244.562864
36.190478,365,246.59989
36.564726,365,247.514889
36.79983,365,248.38892
36.958755,365,249.199919
36.213477,365,250.208889
36.707366,365,251.088976
36.843003,365,253.003944
36.410536,365,253.950974
36.994388,365,254.770952
36.917349,365,255.676982
36.70926,365,256.516944
36.974652,365,257.397979
37.023671,365,259.160981
36.894281,365,260.051944
36.187099,365,260.994944
37.0528,365,261.908975
36.955314,365,262.792944
36.164596,365,264.830944
36.717906,365,269.613984
37.082346,365,270.453977
36.999695,365,271.260945
36.833469,365,272.189945
36.472176,365,273.084945
36.837682,365,274.93398
36.961852,365,275.753872
37.074201,365,276.701866
37.120311,365,277.586871
36.743428,365,278.501834
36.028663,365,279.406865
36.996831,365,281.213341
36.973223,365,282.114882
36.933712,365,283.010851
36.948941,365,283.904851
36.93078,365,284.740852
36.410826,365,286.660851
37.018803,365,287.617889
36.829637,365,288.527851
36.994718,365,289.332887
36.872365,365,290.218851
36.178295,365,291.195399
36.521379,365,293.041392
37.052794,365,293.896362
36.932106,365,294.7784
36.845074,365,295.689362
36.903608,365,296.541362
36.647564,365,302.375832
36.854041,365,303.240832
36.886587,365,304.081862
36.817804,365,304.985832
36.833852,365,305.858869
36.914792,365,306.788832
36.825462,365,308.62787
36.643776,365,309.542862
36.306032,365,310.467833
36.893274,365,311.354373
36.85469,365,312.251359
36.852271,365,313.128372
37.000121,365,314.986341
36.308012,365,315.895372
36.953308,365,316.801341
36.661616,365,317.684371
36.950643,365,318.585341
36.734884,365,320.451341
36.873058,365,321.335883
36.457772,365,322.257887
36.753172,365,323.180868
36.926151,365,324.027879
36.931871,365,324.86185
36.185538,365,326.78288
36.966735,365,327.71188
36.826324,365,328.53785
36.597177,365,329.437879
36.728676,365,334.124886
36.883623,365,335.975848
36.9797,365,336.87588
36.951157,365,337.847879
37.050513,365,338.695879
36.846927,365,339.57988
36.859007,365,340.532886
36.927521,365,342.387849
37.072791,365,343.290882
37.041205,365,344.157892
36.953265,365,344.928889
36.295962,365,345.858881
36.873248,365,346.711849
36.731573,365,348.526888
36.834388,365,349.406882
36.905786,365,350.289849
35.78868,365,351.236935
36.669402,365,352.100904
36.911841,365,353.942927
36.417997,365,354.873927
36.841404,365,355.817928
36.904469,365,356.738933
37.083243,365,357.667897
36.947188,365,358.449897
36.77173,365,360.194897
36.814236,365,361.067929
36.837929,365,361.94293
36.670217,365,362.797897
36.188523,365,367.868897
36.028969,365,369.768406
36.919347,365,370.639722
36.963056,365,371.481685
36.957159,365,372.335192
36.771438,365,373.207433
36.946603,365,374.016463
36.660917,365,375.874465
36.8914,365,376.739465
36.826551,365,377.689432
36.77309,365,378.573432
36.820561,365,379.455463
36.957322,365,380.34347
36.813957,365,382.180433
37.110031,365,383.086471
36.874172,365,384.008461
36.876919,365,384.907433
36.829914,365,385.759461
36.937399,365,387.591433
36.63214,365,388.500433
36.861945,365,389.444463
37.066669,365,390.26849
36.897378,365,391.287432
