Term,Final Net Worth,Final Cash,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,Winner
1,1954.56,499.87,208,1,0,0,0
2,6148.55,3466.97,313,138,0,17,0
3,25343.54,25343.54,0,0,0,0,0
4,12492.96,4405.06,806,0,322,2,1
5,5743.77,5617.32,0,0,9,0,1
6,968.17,0.35,0,14,4,176,0
7,3851.76,1269.99,288,157,0,1,1
8,440.04,219.18,0,0,0,54,0
9,1868.64,1100.55,64,18,9,0,0
10,7676.73,6061.58,244,0,11,0,0
11,1113.12,487.9,0,6,10,92,0
12,14178.36,12897.0,76,0,0,0,1
13,416.28,416.28,0,0,0,0,0
14,1101.87,584.26,79,16,0,1,0
15,2254.9,1003.18,96,0,36,28,1
16,2749.89,2539.23,2,0,0,36,1
17,411.86,1.7,0,23,12,10,0
18,1663.94,281.99,20,56,39,80,0
19,310.08,3.22,0,0,0,67,0
20,17256.3,13084.4,101,0,230,0,1
21,259.82,31.22,2,46,0,0,0
22,1484.01,398.13,147,9,8,0,0
23,1987.97,680.56,0,113,17,0,0
24,6859.54,4667.86,114,0,60,187,0
25,488.15,69.05,15,60,0,0,0
26,927.51,6.55,88,3,22,21,0
27,12446.72,8932.24,0,446,0,0,1
28,381.77,47.79,3,4,18,2,0
29,1224.31,121.19,1,30,71,1,0
30,35300.11,28519.51,0,108,0,261,1
31,170.1,12.92,18,1,2,0,0
32,9677.39,9233.04,51,0,0,61,1
33,14461.05,921.54,148,0,702,17,0
34,2041.76,2041.76,0,0,0,0,0
35,2333.39,1215.15,28,27,45,24,0
36,1159.71,2.69,81,74,0,0,0
37,6352.75,4620.91,146,0,0,22,0
38,4976.13,4013.9,61,94,0,1,1
39,808.77,252.59,50,10,2,22,0
40,1207.13,2.37,67,37,16,28,0
41,2272.26,225.71,0,124,0,247,0
42,9066.41,4848.56,721,0,0,0,0
43,944.71,39.41,167,0,2,0,0
44,335.69,149.53,1,0,7,14,0
45,1287.18,1195.58,0,0,8,0,0
46,835.36,469.63,26,18,3,0,0
47,1683.49,782.96,0,2,0,221,0
48,224.36,94.9,2,12,0,3,0
49,2265.53,1.28,23,177,0,281,0
50,385.79,1.67,3,0,0,87,0
51,10595.07,10580.2,0,0,1,0,0
52,1417.95,272.12,63,3,11,106,0
53,1036.73,33.94,7,0,2,275,0
54,588.45,117.41,7,12,7,90,0
55,12221.93,12189.47,0,6,0,0,1
56,3388.46,2751.74,0,0,42,0,1
57,535.3,142.32,0,16,2,36,0
58,4985.16,293.58,95,160,0,699,0
59,16807.93,11838.13,1004,0,0,0,0
60,624.3,3.8,0,2,20,0,0
61,2037.46,6.74,6,0,125,0,0
62,11674.64,9300.84,0,166,0,0,0
63,9564.86,2295.72,395,623,0,248,1
64,1024.75,720.01,17,3,6,26,0
65,1186.88,1.0,152,56,0,4,0
66,7007.63,3537.45,530,0,3,0,0
67,8444.58,8409.16,0,7,0,0,0
68,1470.72,451.32,0,32,18,109,0
69,8788.01,875.39,935,126,0,122,1
70,1856.79,391.9,138,13,0,273,0
71,2117.33,424.66,99,97,0,149,0
72,2050.61,1847.65,0,4,0,36,1
73,390.34,41.8,0,8,15,5,0
74,13829.4,2131.11,111,0,333,0,1
75,396.26,193.3,0,2,4,23,0
76,928.49,26.49,0,0,0,200,0
77,12519.84,12131.28,0,32,0,26,1
78,38802.73,38802.73,0,0,0,0,1
79,1525.61,753.8,132,1,0,0,0
80,7456.12,392.76,214,135,24,827,0
81,1409.96,685.21,94,0,0,41,1
82,7647.5,610.8,65,182,176,606,1
83,14850.7,14695.87,0,0,1,27,0
84,939.84,592.64,0,32,0,0,0
85,1294.15,114.78,45,11,59,0,0
86,15278.25,12305.7,0,0,0,745,0
87,931.78,3.28,143,1,2,0,1
88,2433.43,1466.65,0,0,67,44,1
89,163.87,2.87,0,0,14,0,0
90,286.58,150.63,10,5,0,0,0
91,707.0,3.47,0,44,25,1,0
92,7094.8,3256.82,0,305,74,1,1
93,399.49,3.67,0,1,3,89,0
94,941.57,135.5,5,4,35,36,0
95,407.36,7.39,5,22,12,4,0
96,3639.62,1890.52,50,4,0,359,0
97,7836.59,7226.34,0,51,13,0,0
98,2427.17,0.11,123,0,64,129,1
99,16144.73,11446.49,33,0,0,948,0
100,1659.77,84.17,0,0,120,0,1
101,197.56,128.83,4,0,0,9,0
102,11015.03,7728.78,0,313,0,322,1
103,14878.48,14230.48,0,24,0,0,0
104,277.71,84.59,20,8,0,0,0
105,3484.88,34.1,83,0,149,57,0
106,3131.69,3.52,454,0,60,29,0
107,440.88,39.92,0,8,0,80,0
108,4134.06,2662.78,166,48,0,1,1
109,1100.97,841.16,16,0,14,5,0
