Term,Final Net Worth,Final Cash,Final Reward,Average Reward,Food Inventory,Fuel Inventory,Clothes Inventory,Water Inventory,ROI
1,717.82,84.76,34.2407,0.0276,0,9,5,87,0.0893
2,250.61,12.14,22.1331,0.0192,23,1,0,16,-0.469
3,1036.72,530.8,30.4525,0.0257,8,22,12,4,5.8269
4,719.73,56.13,32.5849,0.0261,0,0,0,140,-4.7725
5,1311.68,2.06,33.1964,0.0281,0,137,0,3,-1.0169
6,817.11,3.08,29.501,0.0243,21,62,0,0,0.0
7,1074.9,820.24,30.7027,0.0278,0,0,17,0,-0.2234
8,3395.86,2717.72,36.5233,0.0317,0,38,17,14,2.8705
9,1450.97,19.31,33.296,0.0262,42,91,5,37,-1.0118
10,394.81,15.23,24.5682,0.0209,10,14,0,45,-1.2259
11,6985.86,4085.38,55.029,0.0453,117,149,1,0,0.1118
12,486.69,201.52,23.7782,0.0197,33,0,2,7,-0.3286
13,3895.29,3757.19,38.8928,0.0309,0,10,4,0,0.0647
14,353.22,237.7,26.7326,0.0225,19,0,0,0,-0.3208
15,1809.87,7.84,32.1181,0.0263,0,105,27,100,-0.244
16,225.22,3.77,24.7964,0.0199,0,15,0,20,-0.1078
17,768.34,174.05,29.6765,0.0252,80,1,7,0,-0.9914
18,7955.71,7592.11,51.092,0.041,0,0,0,72,3.399
19,321.55,37.26,29.8787,0.0223,5,3,14,0,-0.0479
20,2935.39,1333.67,34.363,0.0259,4,66,66,0,11.324
21,412.46,318.86,25.6583,0.0218,0,9,0,0,3.0746
22,1252.94,93.21,41.3821,0.0329,17,0,62,4,-0.6181
23,2642.13,1361.78,49.3195,0.0361,23,106,5,0,-0.3691
24,778.87,338.14,30.5783,0.0237,11,0,7,49,-0.7915
25,488.39,183.65,35.7989,0.0254,13,4,6,21,1.0328
26,720.74,434.54,36.5082,0.0287,1,0,16,10,-0.0172
27,11915.92,11793.56,18.6056,0.0137,0,14,0,0,-0.6943
28,1003.47,540.75,35.1059,0.0268,0,48,0,0,1.5715
29,140.39,2.05,20.8058,0.0165,0,3,8,1,-1.4485
30,1161.36,26.44,35.8725,0.0262,0,123,0,1,0.0
31,883.54,431.41,47.0217,0.0331,0,48,0,1,4.0269
32,1405.5,284.27,37.3457,0.0278,47,48,9,40,0.6668
33,2647.63,2051.6,41.3857,0.0334,1,0,0,136,26.97
34,745.92,3.2,38.3349,0.0288,38,30,10,12,-0.4963
35,832.28,51.28,33.0935,0.0269,0,0,55,0,-0.0125
36,5273.83,3221.35,55.9578,0.0436,0,46,126,16,0.5418
37,225.96,69.17,18.9568,0.0158,5,3,1,16,-0.242
38,2255.14,98.76,49.4796,0.0341,0,41,0,372,-0.0713
39,943.03,882.59,41.0312,0.0328,9,0,0,2,17.2569
40,615.24,196.85,34.2762,0.0251,16,15,5,22,26.0394
